id;branchname;address;telephone;location;province
1;alarm Jamaica;system Gorgeous Rubber Pants;15864;Steel leading-edge Small;Incredible Fresh Chips
2;Shoes Music connect;Hollow Shoes systems;39850;Personal Loan Account;HTTP explicit
3;Personal Loan Account;Cambridgeshire Norfolk Island;68396;Checking Account;invoice Outdoors New York
4;multi-byte Jamaican Dollar North Carolina;Station;54561;Web revolutionize Branding;teal analyzing yellow
5;Books Generic;robust withdrawal generate;68161;wireless;hybrid
6;Solomon Islands Dollar;Personal Loan Account HTTP;73507;mobile intermediate;deliverables
7;multi-byte Producer;Cotton Robust;58054;JSON Texas;bandwidth
8;application Configurable iterate;Berkshire navigating;32004;Direct;Small Frozen Salad bypassing
9;time-frame Quality;Borders Borders Practical;9170;Money Market Account;Danish Krone parse
10;neural Wooden Optimization;Tasty Rubber Car mindshare EXE;35091;Frozen Metal program;SDD bypassing
