id;tiretype;width;height;diameter;speedrating;jhi_load;detail
1;Corporate Phased relationships;75555;20306;22879;Generic neutral Salad;92969;virtual deposit
2;Squares mint green e-business;88328;53934;32434;Fresh granular Direct;27213;withdrawal
3;copying;86073;30478;695;Borders;41741;magenta Concrete
4;User-centric Gloves;21876;51879;55810;facilitate Tasty Concrete Chips Exclusive;69630;card Plastic
5;Computers Personal Loan Account Berkshire;5147;3305;27864;Investor Public-key;14489;Berkshire Designer
6;Credit Card Account;8085;76161;36965;Re-contextualized;80313;Point Orchestrator
7;Solomon Islands Licensed;83530;15071;32078;magenta Refined Rubber Gloves;67756;Clothing
8;open-source turn-key;9617;17436;94052;disintermediate Cambridgeshire hacking;67569;bandwidth azure
9;SMS Enhanced;65998;17495;81722;Macao Equatorial Guinea Vision-oriented;9310;Customer Human deposit
10;even-keeled Saint Helena Pound;84666;89711;85632;drive THX bypassing;93563;solid state
